Settlement Date,Settlement Period,System Sell Price(£/MWh),System Buy Price(£/MWh),Net Imbalance Volume(MWh)
01/01/2018,1,55.94,55.94,38.5262
01/01/2018,2,55.94,55.94,167.3802
01/01/2018,3,62.94,62.94,109.8918
01/01/2018,4,31,31,-143.3171
01/01/2018,5,60.81578,60.81578,70.7066
01/01/2018,6,65,65,153.4909
01/01/2018,7,67.85621,67.85621,383.4818
01/01/2018,8,65.77166,65.77166,303.5896
01/01/2018,9,64.01908,64.01908,162.1709
01/01/2018,10,61.42808,61.42808,34.6499
01/01/2018,11,59.64802,59.64802,50.9251
01/01/2018,12,65,65,266.6485
01/01/2018,13,65,65,564.9156
01/01/2018,14,65,65,549.9681
01/01/2018,15,65,65,173.6142
01/01/2018,16,63.91682,63.91682,24.4313
01/01/2018,17,18.16975,18.16975,-331.786
01/01/2018,18,21.83278,21.83278,-40.5668
01/01/2018,19,55.94,55.94,156.876
01/01/2018,20,64.95858,64.95858,337.0699
01/01/2018,21,62.41571,62.41571,270.3072
01/01/2018,22,65,65,584.9339
01/01/2018,23,66.02721,66.02721,657.9369
01/01/2018,24,68,68,784.0184
01/01/2018,25,68,68,529.9167
01/01/2018,26,68,68,429.5163
01/01/2018,27,69.9,69.9,562.7834
01/01/2018,28,65,65,255.7134
01/01/2018,29,36.83533,36.83533,-297.8231
01/01/2018,30,35.6,35.6,-468.5778
01/01/2018,31,38.86952,38.86952,-366.59
01/01/2018,32,40.05,40.05,-411.6333
01/01/2018,33,38.17677,38.17677,-420.7695
01/01/2018,34,45.15,45.15,-50.2903
01/01/2018,35,40.08491,40.08491,-162.3558
01/01/2018,36,41.76309,41.76309,-132.14
01/01/2018,37,38.41384,38.41384,-481.3135
01/01/2018,38,36.64317,36.64317,-299.0293
01/01/2018,39,59.95,59.95,41.4957
01/01/2018,40,59.95,59.95,35.4228
01/01/2018,41,39.06589,39.06589,-69.4035
01/01/2018,42,38.08043,38.08043,-385.7141
01/01/2018,43,38.31446,38.31446,-245.4843
01/01/2018,44,38,38,-316.6348
01/01/2018,45,33.51661,33.51661,-553.8897
01/01/2018,46,30.92449,30.92449,-750.9001
01/01/2018,47,28.07785,28.07785,-621.7131
01/01/2018,48,24.67,24.67,-775.0742
02/01/2018,1,23.06049,23.06049,-954.6019
02/01/2018,2,25,25,-518.8817
02/01/2018,3,22,22,-376.6931
02/01/2018,4,22,22,-353.8653
02/01/2018,5,28.22193,28.22193,-235.6909
02/01/2018,6,59.49,59.49,1.493
02/01/2018,7,65,65,349.4059
02/01/2018,8,65,65,322.3519
02/01/2018,9,62.49778,62.49778,247.0411
02/01/2018,10,61.75,61.75,158.4031
02/01/2018,11,62.52239,62.52239,143.1153
02/01/2018,12,64.94,64.94,177.0807
02/01/2018,13,64.94,64.94,152.0592
02/01/2018,14,34.02345,34.02345,-753.7168
02/01/2018,15,30.06964,30.06964,-1418.3769
02/01/2018,16,31.21949,31.21949,-1868.8656
